Date,Settle Price,Model_price,Spot_price
2020-03-02,29121.3,29172.75548867252,28868.4
2020-03-03,29364.7,29481.105441395604,29177.05
2020-03-04,28914.35,28948.81165576477,28653.7
2020-03-05,29018.65,29108.61733421427,28815.35
2020-03-06,27976.2,28081.013085825445,27801.45
2020-03-09,26690.7,26719.03548778061,26462.6
2020-03-11,26691.55,26738.032481143997,26487.8
2020-03-12,23979.15,24194.690680236516,23971.15
2020-03-13,25347.8,25398.075466384773,25166.45
2020-03-16,23156.4,23305.337226108346,23101.15
2020-03-17,22163.5,22348.281487506956,22155.15
2020-03-18,20631.2,20757.09991315644,20580.2
2020-03-19,20015.65,20253.688772899295,20083.5
2020-03-20,20367.0,20487.30269910785,20317.6
2020-03-23,17012.45,17052.78647554,16917.65
2020-03-24,17046.05,17241.872782922466,17107.3
2020-03-25,18479.2,18624.184000914564,18481.05
2020-03-26,19399.6,19763.425234130187,19613.9
2020-03-27,19837.15,20118.806887838073,19969.0
2020-03-30,18847.2,18916.46278801502,18782.4
2020-03-31,19211.45,19278.319671722864,19144.0
2020-04-01,18222.3,18333.894642434632,18208.35
2020-04-03,17222.85,17364.04518974377,17249.3
2020-04-07,19211.15,19180.05619974208,19062.5
2020-04-08,18931.45,19060.99263101911,18946.45
2020-04-09,19801.1,20031.574720950524,19913.6
2020-04-13,19539.05,19594.00298101733,19488.0
2020-04-15,19032.8,19156.08986127675,19057.05
2020-04-16,19449.2,19498.471536770816,19400.0
2020-04-17,20741.75,20783.920377927818,20681.45
2020-04-20,20490.8,20616.876257013486,20522.65
2020-04-21,19340.85,19496.114371222357,19409.35
2020-04-22,19692.15,19787.536424557053,19701.85
2020-04-23,20179.1,20353.64474397945,20267.95
2020-04-24,19524.75,19667.093174770656,19586.65
2020-04-27,20075.0,20156.333374591173,20081.15
2020-04-28,20645.35,20745.9910967989,20671.1
2020-04-29,21095.7,21164.058052554257,21090.2
2020-04-30,21431.3,21607.309121062077,21534.5
2020-05-04,19632.75,19800.954354342528,19743.75
2020-05-05,19246.35,19325.257049468117,19271.75
2020-05-06,19671.95,19746.850346792082,19694.55
2020-05-07,19505.3,19541.206134804765,19491.8
2020-05-08,19284.65,19399.615338327185,19352.9
2020-05-11,18914.4,18989.375365536293,18950.5
2020-05-12,18839.1,18899.26715374619,18862.85
2020-05-13,19617.0,19670.48641227913,19634.95
2020-05-14,19038.75,19100.70852996406,19068.5
2020-05-15,18807.7,18863.488260646714,18833.95
2020-05-18,17531.6,17594.396905156744,17573.2
2020-05-19,17438.75,17505.231678610326,17486.25
2020-05-20,17836.65,17857.413094294963,17840.2
2020-05-21,17644.85,17750.071825032293,17735.1
2020-05-22,17216.1,17291.40213611789,17278.9
2020-05-26,17445.15,17444.555303632667,17440.35
2020-05-27,18663.05,18712.80565431068,18710.55
2020-05-28,19169.8,19169.8,19169.8
